Name,Address,Time,Date,Lat,Lng
Carson Community Center,"3 Civic Drive Carson, CA 90745",10:00 AM - 12:00 PM,10/24/2011 ,33.8329145,-118.2594046
Arroyo Vista Family Health Center,"6000 N. Figueroa Street Los Angeles, CA 90042",09:00 AM - 12:00 PM,10/25/2011 ,34.1115818,-118.1887229
La Verne Senior Center,"3680 ""D"" Street La Verne, CA 91750",09:00 AM - 11:30 AM,10/25/2011 ,34.1133625,-117.7651179
Alpine School,"8244 Pearblossom Highway Littlerock, CA 93543",09:00 AM - 12:00 PM,10/26/2011 ,34.5210889,-117.9829443
ChinaTown Citizen Service Center,"600 N. Broadway Street Los Angeles, CA 90012",08:30 AM - 12:00 PM,10/26/2011 ,34.059031,-118.239547
Covina Joslyn Senior Center,"815 N. Barranca Avenue Covina, CA 91723",08:30 AM - 11:30 AM,10/26/2011 ,34.0939877,-117.8814134
Hollywood Senior Center,"1360 N. St Andrews Place Los Angeles, CA 90028",09:00 AM - 12:00 PM,10/26/2011 ,34.0960055,-118.3109096
LA Care,"3180 E. Imperial Hwy. Lynwood, CA 90262",10:00 AM - 02:00 PM,10/26/2011 ,33.9304458,-118.2117612
Pacific Palisades Women's Club,"901 Haverford Avenue Pacific Palisades, CA 90272",09:00 AM - 11:00 AM,10/26/2011 ,34.0474191,-118.5288109
Paramount Senior Center,"14400 Paramount Blvd. Paramount, CA 90723",09:00 AM - 12:00 PM,10/26/2011 ,33.902536,-118.1601352
Pico Rivera Senior Center,"9220 Mines Avenue Pico Rivera, CA 90660",09:00 AM - 12:00 PM,10/26/2011 ,33.9900313,-118.0862772
Angelus Plaza,"255 S. Hill Street Los Angeles, CA 90012",09:00 AM - 12:00 PM,10/27/2011 ,34.052084,-118.24956
Joselyn Senior Center,"210 N. Chapel Avenue Alhambra, CA 91801",09:00 AM - 12:00 PM,10/27/2011 ,34.0984536,-118.124914
New Commandment Church,"15548 Paramount Blvd. Paramount, CA 90723",10:00 AM - 02:00 PM,10/27/2011 ,33.891402,-118.15967
Roosevelt Senior Center,"7600 S. Grahm Avenue Los Angeles, CA 90723",09:00 AM - 01:00 PM,10/27/2011 ,33.970204,-118.242047
Steinmetz Senior Center,"1545 S. Stimson Avenue Hacienda Heights, CA 91745",09:00 AM - 11:30 AM,10/27/2011 ,34.0028409,-117.961262
Rita Walters Learning Center,"915 W. Manchester Blvd. Los Angeles, CA 90047",12:00 PM - 04:30 PM,10/28/2011 ,33.960036,-118.3179484
