Name,Address,Time,Date
Carson Community Center,"3 Civic Drive Carson, CA 90745",10:00 AM - 12:00 PM,10/24/2011 
Arroyo Vista Family Health Center,"6000 N. Figueroa Street Los Angeles, CA 90042",09:00 AM - 12:00 PM,10/25/2011 
La Verne Senior Center,"3680 ""D"" Street La Verne, CA 91750",09:00 AM - 11:30 AM,10/25/2011 
Alpine School,"8244 Pearblossom Highway Littlerock, CA 93543",09:00 AM - 12:00 PM,10/26/2011 
ChinaTown Citizen Service Center,"600 N. Broadway Street Los Angeles, CA 90012",08:30 AM - 12:00 PM,10/26/2011 
Covina Joslyn Senior Center,"815 N. Barranca Avenue Covina, CA 91723",08:30 AM - 11:30 AM,10/26/2011 
Hollywood Senior Center,"1360 N. St Andrews Place Los Angeles, CA 90028",09:00 AM - 12:00 PM,10/26/2011 
LA Care,"3180 E. Imperial Hwy. Lynwood, CA 90262",10:00 AM - 02:00 PM,10/26/2011 
Pacific Palisades Women's Club,"901 Haverford Avenue Pacific Palisades, CA 90272",09:00 AM - 11:00 AM,10/26/2011 
Paramount Senior Center,"14400 Paramount Blvd. Paramount, CA 90723",09:00 AM - 12:00 PM,10/26/2011 
Pico Rivera Senior Center,"9220 Mines Avenue Pico Rivera, CA 90660",09:00 AM - 12:00 PM,10/26/2011 
Angelus Plaza,"255 S. Hill Street Los Angeles, CA 90012",09:00 AM - 12:00 PM,10/27/2011 
Joselyn Senior Center,"210 N. Chapel Avenue Alhambra, CA 91801",09:00 AM - 12:00 PM,10/27/2011 
New Commandment Church,"15548 Paramount Blvd. Paramount, CA 90723",10:00 AM - 02:00 PM,10/27/2011 
Roosevelt Senior Center,"7600 S. Grahm Avenue Los Angeles, CA 90723",09:00 AM - 01:00 PM,10/27/2011 
Steinmetz Senior Center,"1545 S. Stimson Avenue Hacienda Heights, CA 91745",09:00 AM - 11:30 AM,10/27/2011 
Rita Walters Learning Center,"915 W. Manchester Blvd. Los Angeles, CA 90047",12:00 PM - 04:30 PM,10/28/2011 
Cardenas Community Health and Safety Fair,"6100 Woodley Avenue Lake Balboa, CA 91406",09:00 AM - 01:00 PM,10/29/2011 
HK Market,"831 N. Pacific Avenue, # A Glendale, CA 91203",02:00 PM - 06:00 PM,10/29/2011 
Little Company of Mary San Pedro,"1300 W. 7th Street San Pedro, CA 90731",09:00 AM - 12:00 PM,10/29/2011 
New Life in Christ,"8301 S. Central Los Angeles, CA 90001",09:00 AM - 01:00 PM,10/29/2011 
Union Church,"401 E. 3rd Street Los Angeles, CA 90013",08:30 AM - 12:00 PM,10/29/2011 
Glory Church of Jesus Christ,"1801 S. Grand Avenue Los Angeles, CA 90015",09:00 AM - 02:00 PM,10/30/2011 
Highlands Church,"39625 20th Street West Palmdale, CA 93551",09:00 AM - 12:00 PM,10/30/2011 
Holy Name Church,"1955 W. Jefferson Blvd. Los Angeles, CA 90018",09:00 AM - 01:00 PM,10/30/2011 
St. Brigid Catholic Church,"5214 S. Western Avenue Los Angeles, CA 90062",08:00 AM - 02:00 PM,10/30/2011 
Youngnak Presbyterian Church,"1721 N Broadway Avenue Los Angeles, CA 90031",09:00 AM - 12:00 PM,10/30/2011 
Esther Snyder Senior Center,"4100 Baldwin Park Blvd. Baldwin Park, CA 91706",09:00 AM - 12:00 PM,10/31/2011 
Bell Community Center,"6250 Pine Avenue Bell, CA 90201",12:00 PM - 04:00 PM,11/01/2011 
Joslyn Senior Center,"1301 W. Olive Avenue Burbank, CA 91506",09:00 AM - 11:00 AM,11/01/2011 
Korean Federation,"981 S. Western Avenue Los Angeles, CA 90006",09:00 AM - 12:00 PM,11/01/2011 
Seinan Senior Center,"3116 W. Jefferson Blvd. Los Angeles, CA 90018",09:00 AM - 01:00 PM,11/01/2011 
Walnut Senior Center,"21215 La Puente Road Walnut, CA 91789",09:00 AM - 11:30 AM,11/01/2011 
City of Hermosa Bch/Clark Stadium,"861 Valley Drive Hermosa Beach, CA 90245",10:00 AM - 12:00 PM,11/02/2011 
La Mirada Activity Center,"13810 La Mirada Blvd. La Mirada, CA 90638",01:00 PM - 04:00 PM,11/02/2011 
La Puente Senior Center,"16001 E. Main Street La Puente, CA 91744",09:00 AM - 11:30 AM,11/02/2011 
Norwalk Senior Center,"14040 San Antonio Drive Norwalk, CA 90650",09:00 AM - 12:00 PM,11/02/2011 
